Date,IV,RV,VRP (IV - RV)
2021-10-12,19.850000381469727,15.436708457298836,4.41329192417089
2021-10-13,18.639999389648438,15.111263977844988,3.5287354118034493
2021-10-14,16.860000610351562,16.43811043546702,0.42189017488454184
2021-10-15,16.299999237060547,16.320403949978733,-0.020404712918185908
2021-10-18,16.309999465942383,14.961474921039189,1.348524544903194
2021-10-19,15.699999809265137,15.078231391767675,0.6217684174974618
2021-10-20,15.489999771118164,14.828146540330692,0.6618532307874716
2021-10-21,15.010000228881836,14.318022857075732,0.6919773718061037
2021-10-22,15.430000305175781,14.338269333131917,1.0917309720438642
2021-10-25,15.239999771118164,14.324138476949427,0.915861294168737
2021-10-26,15.979999542236328,11.748052759293676,4.231946782942652
2021-10-27,16.979999542236328,12.049052001687224,4.930947540549104
2021-10-28,16.530000686645508,11.101116921626843,5.428883765018664
2021-10-29,16.260000228881836,10.676464549331895,5.583535679549941
2021-11-01,16.40999984741211,8.908281873612077,7.501717973800032
2021-11-02,16.030000686645508,8.522905980347387,7.507094706298121
2021-11-03,15.100000381469727,8.596827612774078,6.503172768695649
2021-11-04,15.4399995803833,8.40352874193727,7.03647083844603
2021-11-05,16.479999542236328,8.193999048422153,8.286000493814175
2021-11-08,17.219999313354492,7.321028862139725,9.898970451214767
2021-11-09,17.780000686645508,7.45147449292284,10.328526193722668
2021-11-10,18.729999542236328,8.579318781575997,10.15068076066033
2021-11-11,17.65999984741211,6.894817459997136,10.765182387414974
2021-11-12,16.290000915527344,6.872106670338864,9.41789424518848
2021-11-15,16.489999771118164,6.907691297509566,9.582308473608599
2021-11-16,16.3700008392334,6.663702284494434,9.706298554738964
2021-11-17,17.110000610351562,6.821803185055862,10.2881974252957
2021-11-18,17.59000015258789,6.833268694475526,10.756731458112364
2021-11-19,17.90999984741211,6.851627284236768,11.058372563175341
2021-11-22,19.170000076293945,6.956907358164041,12.213092718129904
2021-11-23,19.3799991607666,6.955415554314266,12.424583606452336
2021-11-24,18.579999923706055,6.547713565018901,12.032286358687154
2021-11-26,28.6200008392334,10.354545631673476,18.265455207559924
2021-11-29,22.959999084472656,11.34697053775752,11.613028546715137
2021-11-30,27.190000534057617,13.304679974152913,13.885320559904704
2021-12-01,31.1200008392334,13.793382667611063,17.326618171622336
2021-12-02,27.950000762939453,14.605733378060698,13.344267384878755
2021-12-03,30.670000076293945,14.712876395197178,15.957123681096768
2021-12-06,27.18000030517578,15.345509650256018,11.834490654919763
2021-12-07,21.889999389648438,17.160207521777142,4.729791867871295
2021-12-08,19.899999618530273,17.14912915815591,2.7508704603743617
2021-12-09,21.579999923706055,17.084436733996448,4.495563189709607
2021-12-10,18.690000534057617,17.399909582622406,1.2900909514352108
2021-12-13,20.309999465942383,17.555447009725864,2.754552456216519
2021-12-14,21.889999389648438,17.747818325191094,4.142181064457343
2021-12-15,19.290000915527344,18.670565527367675,0.619435388159669
2021-12-16,20.56999969482422,18.916169653397564,1.6538300414266551
2021-12-17,21.56999969482422,19.19541373166671,2.3745859631575073
2021-12-20,22.8700008392334,19.55844903345493,3.3115518057784676
2021-12-21,21.010000228881836,20.669531104299864,0.340469124581972
2021-12-22,18.6299991607666,20.995440265505717,-2.3654411047391157
2021-12-23,17.959999084472656,21.09624388135469,-3.1362447968820355
2021-12-27,17.68000030517578,19.711946909991138,-2.0319466048153565
2021-12-28,17.540000915527344,19.297986947512662,-1.7579860319853182
2021-12-29,16.950000762939453,17.711631919767225,-0.7616311568277716
2021-12-30,17.329999923706055,17.027420733412203,0.3025791902938515
2021-12-31,17.219999313354492,16.593241611250544,0.6267577021039479
2022-01-03,16.600000381469727,16.17763746952469,0.4223629119450365
2022-01-04,16.90999984741211,15.866482860118209,1.0435169872939003
2022-01-05,19.729999542236328,16.09702603023514,3.6329735120011897
2022-01-06,19.610000610351562,16.0632656944363,3.5467349159152626
2022-01-07,18.760000228881836,15.915533863612536,2.8444663652693
2022-01-10,19.399999618530273,15.527512804160503,3.87248681436977
2022-01-11,18.40999984741211,15.520858231320611,2.889141616091498
2022-01-12,17.6200008392334,15.247887537195268,2.37211330203813
2022-01-13,20.309999465942383,15.057013565370445,5.252985900571938
2022-01-14,19.190000534057617,14.742600472495129,4.4474000615624885
2022-01-18,22.790000915527344,15.756302539327184,7.03369837620016
2022-01-19,23.850000381469727,15.608732493596248,8.241267887873478
2022-01-20,25.59000015258789,14.503891415517877,11.086108737070013
2022-01-21,28.850000381469727,15.010702160440662,13.839298221029065
2022-01-24,29.899999618530273,14.770210130258432,15.129789488271841
2022-01-25,31.15999984741211,13.589952311289421,17.570047536122686
2022-01-26,31.959999084472656,13.573237092814464,18.38676199165819
2022-01-27,30.489999771118164,13.375692609553017,17.114307161565147
2022-01-28,27.65999984741211,16.92220859586597,10.737791251546138
2022-01-31,24.829999923706055,18.713130054215387,6.116869869490667
2022-02-01,21.959999084472656,18.745069981436295,3.2149291030363614
2022-02-02,22.09000015258789,19.220620560788902,2.869379591798989
2022-02-03,24.350000381469727,19.90775652125338,4.442243860216347
2022-02-04,23.219999313354492,20.084746300118773,3.135253013235719
2022-02-07,22.860000610351562,20.080665996779636,2.779334613571926
2022-02-08,21.440000534057617,20.422760879602233,1.0172396544553841
2022-02-09,19.959999084472656,20.873438052414517,-0.9134389679418611
